Measurement,Time,AMPM,WP1,WP2,WP3,WP4
2018-07-13,9:00:00,PM,-9,-9.3,-10,-9.7
2018-07-13,10:00:00,PM,-8.9,-9.3,-10,-9.7
2018-07-13,11:00:00,PM,-8.9,-9.3,-10,-9.7
2018-07-14,12:00:00,AM,-8.9,-9.3,-10,-9.7
2018-07-14,1:00:00,AM,-8.9,-9.3,-10,-9.7
2018-07-14,2:00:00,AM,-8.9,-9.2,-10,-9.6
2018-07-14,3:00:00,AM,-8.9,-9.2,-9.9,-9.6
2018-07-14,4:00:00,AM,-8.9,-9.2,-9.9,-9.6
2018-07-14,5:00:00,AM,-8.9,-9.2,-9.9,-9.6
2018-07-14,6:00:00,AM,-8.9,-9.2,-9.9,-9.6
2018-07-14,7:00:00,AM,-8.9,-9.2,-9.9,-9.6
2018-07-14,8:00:00,AM,-8.9,-9.2,-9.9,-9.6
2018-07-14,9:00:00,AM,-8.8,-9.1,-9.9,-9.5
2018-07-14,10:00:00,AM,-8.9,-9.3,-10,-9.7
2018-07-14,11:00:00,AM,-8.9,-9.3,-10,-9.7
2018-07-14,12:00:00,PM,-8.9,-9.3,-10,-9.7
2018-07-14,1:00:00,PM,-8.8,-9.4,-10,-9.7
2018-07-14,2:00:00,PM,-8.9,-9.3,-10,-9.7
2018-07-14,3:00:00,PM,-8.8,-9.2,-10,-9.7
2018-07-14,4:00:00,PM,-8.9,-9.3,-10,-9.5
2018-07-14,5:00:00,PM,-8.9,-9.3,-10,-9.7
2018-07-14,6:00:00,PM,-8.8,-9.3,-10,-9.7
2018-07-14,7:00:00,PM,-8.9,-9.3,-10,-9.7
2018-07-14,8:00:00,PM,-8.9,-9.3,-10,-9.6
2018-07-14,9:00:00,PM,-8.9,-9.3,-10,-9.6
2018-07-14,10:00:00,PM,-8.9,-9.2,-10,-9.6
2018-07-14,11:00:00,PM,-8.9,-9.2,-9.9,-9.6
2018-07-15,12:00:00,AM,-8.9,-9.2,-9.9,-9.6
